unidade;mes;ano;porte;quantidade
HJK;Abril;2016;PORTE III (4 A 5 HORAS);26
HJK;Abril;2016;PORTE IV (ACIMA 6 HORAS);3
HJK;Maio;2016;PORTE I (0 A 2 HORAS);167
HJK;Maio;2016;PORTE II ( 2 A 4 HORAS);83
HJK;Maio;2016;PORTE III (4 A 5 HORAS);23
HJK;Maio;2016;PORTE IV (ACIMA 6 HORAS);8
HJK;Junho;2016;PORTE I (0 A 2 HORAS);165
HJK;Junho;2016;PORTE II ( 2 A 4 HORAS);99
HJK;Junho;2016;PORTE III (4 A 5 HORAS);29
HJK;Junho;2016;PORTE IV (ACIMA 6 HORAS);7
HJK;Julho;2016;PORTE I (0 A 2 HORAS);169
HJK;Julho;2016;PORTE II ( 2 A 4 HORAS);90
HJK;Julho;2016;PORTE III (4 A 5 HORAS);18
HJK;Julho;2016;PORTE IV (ACIMA 6 HORAS);5
HJK;Agosto;2016;PORTE I (0 A 2 HORAS);253
HJK;Agosto;2016;PORTE II ( 2 A 4 HORAS);95
HJK;Agosto;2016;PORTE III (4 A 5 HORAS);25
HJK;Agosto;2016;PORTE IV (ACIMA 6 HORAS);4
HJK;Setembro;2016;PORTE I (0 A 2 HORAS);98
HJK;Setembro;2016;PORTE II ( 2 A 4 HORAS);103
HJK;Setembro;2016;PORTE III (4 A 5 HORAS);18
HJK;Setembro;2016;PORTE IV (ACIMA 6 HORAS);9
HJK;Outubro;2016;PORTE I (0 A 2 HORAS);133
HJK;Outubro;2016;PORTE II ( 2 A 4 HORAS);69
HJK;Outubro;2016;PORTE III (4 A 5 HORAS);18
HJK;Outubro;2016;PORTE IV (ACIMA 6 HORAS);6
HJK;Novembro;2016;PORTE I (0 A 2 HORAS);128
HJK;Novembro;2016;PORTE II ( 2 A 4 HORAS);78
HJK;Novembro;2016;PORTE III (4 A 5 HORAS);22
HJK;Novembro;2016;PORTE IV (ACIMA 6 HORAS);2
HJK;Dezembro;2016;PORTE I (0 A 2 HORAS);91
HJK;Dezembro;2016;PORTE II ( 2 A 4 HORAS);66
HJK;Dezembro;2016;PORTE III (4 A 5 HORAS);16
HJK;Dezembro;2016;PORTE IV (ACIMA 6 HORAS);1
HJXXIII;Janeiro;2016;PORTE I (0 A 2 HORAS);266
HJXXIII;Janeiro;2016;PORTE II ( 2 A 4 HORAS);223
HJXXIII;Janeiro;2016;PORTE III (4 A 5 HORAS);44
HJXXIII;Janeiro;2016;PORTE IV (ACIMA 6 HORAS);23
HJXXIII;Fevereiro;2016;PORTE I (0 A 2 HORAS);252
HJXXIII;Fevereiro;2016;PORTE II ( 2 A 4 HORAS);208
HJXXIII;Fevereiro;2016;PORTE III (4 A 5 HORAS);50
HJXXIII;Fevereiro;2016;PORTE IV (ACIMA 6 HORAS);20
HJXXIII;Março;2016;PORTE I (0 A 2 HORAS);252
HJXXIII;Março;2016;PORTE II ( 2 A 4 HORAS);208
HJXXIII;Março;2016;PORTE III (4 A 5 HORAS);50
HJXXIII;Março;2016;PORTE IV (ACIMA 6 HORAS);20
HJXXIII;Abril;2016;PORTE I (0 A 2 HORAS);223
HJXXIII;Abril;2016;PORTE II ( 2 A 4 HORAS);186
HJXXIII;Abril;2016;PORTE III (4 A 5 HORAS);38
HJXXIII;Abril;2016;PORTE IV (ACIMA 6 HORAS);36
HJXXIII;Maio;2016;PORTE I (0 A 2 HORAS);260
HJXXIII;Maio;2016;PORTE II ( 2 A 4 HORAS);236
HJXXIII;Maio;2016;PORTE III (4 A 5 HORAS);53
HJXXIII;Maio;2016;PORTE IV (ACIMA 6 HORAS);57
HJXXIII;Junho;2016;PORTE I (0 A 2 HORAS);251
HJXXIII;Junho;2016;PORTE II ( 2 A 4 HORAS);217
HJXXIII;Junho;2016;PORTE III (4 A 5 HORAS);69
HJXXIII;Junho;2016;PORTE IV (ACIMA 6 HORAS);57
HJXXIII;Julho;2016;PORTE I (0 A 2 HORAS);268
