column_1;column_2;column_3;column_4;column_5;column_6;column_7
"HGBJA;Janeiro;2024;PORTE";IV;(ACIMA;6;"HORAS);1";;
"HGBJA;Fevereiro;2024;PORTE";I;(0;A;2;"HORAS);141";
"HGBJA;Fevereiro;2024;PORTE";II;(;2;A;4;"HORAS);23"
"HGBJA;Fevereiro;2024;PORTE";III;(4;A;5;"HORAS);4";
"HGBJA;Fevereiro;2024;PORTE";IV;(ACIMA;6;"HORAS);1";;
"HGBJA;MarÃƒÂ§o;2024;PORTE";I;(0;A;2;"HORAS);158";
"HGBJA;MarÃƒÂ§o;2024;PORTE";II;(;2;A;4;"HORAS);29"
"HGBJA;MarÃƒÂ§o;2024;PORTE";III;(4;A;5;"HORAS);1";
"HGBJA;MarÃƒÂ§o;2024;PORTE";IV;(ACIMA;6;"HORAS);0";;
"HGBJA;Abril;2024;PORTE";I;(0;A;2;"HORAS);146";
"HGBJA;Abril;2024;PORTE";II;(;2;A;4;"HORAS);38"
"HGBJA;Abril;2024;PORTE";III;(4;A;5;"HORAS);1";
"HGBJA;Abril;2024;PORTE";IV;(ACIMA;6;"HORAS);0";;
"HGBJA;Maio;2024;PORTE";I;(0;A;2;"HORAS);164";
"HGBJA;Maio;2024;PORTE";II;(;2;A;4;"HORAS);35"
"HGBJA;Maio;2024;PORTE";III;(4;A;5;"HORAS);4";
"HGBJA;Maio;2024;PORTE";IV;(ACIMA;6;"HORAS);0";;
"HGBJA;Junho;2024;PORTE";I;(0;A;2;"HORAS);147";
"HGBJA;Junho;2024;PORTE";II;(;2;A;4;"HORAS);34"
"HGBJA;Junho;2024;PORTE";III;(4;A;5;"HORAS);0";
"HGBJA;Junho;2024;PORTE";IV;(ACIMA;6;"HORAS);0";;
"HJK;Janeiro;2024;PORTE";I;(0;A;2;"HORAS);126";
"HJK;Janeiro;2024;PORTE";II;(;2;A;4;"HORAS);49"
"HJK;Janeiro;2024;PORTE";III;(4;A;5;"HORAS);8";
"HJK;Janeiro;2024;PORTE";IV;(ACIMA;6;"HORAS);4";;
"HJK;Fevereiro;2024;PORTE";I;(0;A;2;"HORAS);166";
"HJK;Fevereiro;2024;PORTE";II;(;2;A;4;"HORAS);53"
"HJK;Fevereiro;2024;PORTE";III;(4;A;5;"HORAS);7";
"HJK;Fevereiro;2024;PORTE";IV;(ACIMA;6;"HORAS);2";;
"HJK;MarÃƒÂ§o;2024;PORTE";I;(0;A;2;"HORAS);169";
"HJK;MarÃƒÂ§o;2024;PORTE";II;(;2;A;4;"HORAS);49"
"HJK;MarÃƒÂ§o;2024;PORTE";III;(4;A;5;"HORAS);5";
"HJK;MarÃƒÂ§o;2024;PORTE";IV;(ACIMA;6;"HORAS);2";;
"HJK;Abril;2024;PORTE";I;(0;A;2;"HORAS);196";
"HJK;Abril;2024;PORTE";II;(;2;A;4;"HORAS);68"
"HJK;Abril;2024;PORTE";III;(4;A;5;"HORAS);19";
"HJK;Abril;2024;PORTE";IV;(ACIMA;6;"HORAS);2";;
"HJK;Maio;2024;PORTE";I;(0;A;2;"HORAS);158";
"HJK;Maio;2024;PORTE";II;(;2;A;4;"HORAS);70"
"HJK;Maio;2024;PORTE";III;(4;A;5;"HORAS);25";
"HJK;Maio;2024;PORTE";IV;(ACIMA;6;"HORAS);9";;
"HJK;Junho;2024;PORTE";I;(0;A;2;"HORAS);194";
"HJK;Junho;2024;PORTE";II;(;2;A;4;"HORAS);91"
"HJK;Junho;2024;PORTE";III;(4;A;5;"HORAS);21";
"HJK;Junho;2024;PORTE";IV;(ACIMA;6;"HORAS);11";;
"HJK;Julho;2024;PORTE";I;(0;A;2;"HORAS);203";
"HJK;Julho;2024;PORTE";II;(;2;A;4;"HORAS);76"
"HJK;Julho;2024;PORTE";III;(4;A;5;"HORAS);16";
"HJK;Julho;2024;PORTE";IV;(ACIMA;6;"HORAS);5";;
"HJK;Agosto;2024;PORTE";I;(0;A;2;"HORAS);237";
"HJK;Agosto;2024;PORTE";II;(;2;A;4;"HORAS);72"
"HJK;Agosto;2024;PORTE";III;(4;A;5;"HORAS);25";
"HJK;Agosto;2024;PORTE";IV;(ACIMA;6;"HORAS);5";;
"HJK;Setembro;2024;PORTE";I;(0;A;2;"HORAS);222";
"HJK;Setembro;2024;PORTE";II;(;2;A;4;"HORAS);64"
"HJK;Setembro;2024;PORTE";III;(4;A;5;"HORAS);16";
"HJK;Setembro;2024;PORTE";IV;(ACIMA;6;"HORAS);6";;
"HJK;Outubro;2024;PORTE";I;(0;A;2;"HORAS);216";
"HJK;Outubro;2024;PORTE";II;(;2;A;4;"HORAS);78"
"HJK;Outubro;2024;PORTE";III;(4;A;5;"HORAS);24";
"HJK;Outubro;2024;PORTE";IV;(ACIMA;6;"HORAS);12";;
"HJK;Novembro;2024;PORTE";I;(0;A;2;"HORAS);251";
"HJK;Novembro;2024;PORTE";II;(;2;A;4;"HORAS);76"
"HJK;Novembro;2024;PORTE";III;(4;A;5;"HORAS);22";
"HJK;Novembro;2024;PORTE";IV;(ACIMA;6;"HORAS);8";;
"HJXXIII;Janeiro;2024;PORTE";I;(0;A;2;"HORAS);360";
"HJXXIII;Janeiro;2024;PORTE";II;(;2;A;4;"HORAS);148"
"HJXXIII;Janeiro;2024;PORTE";III;(4;A;5;"HORAS);17";
"HJXXIII;Janeiro;2024;PORTE";IV;(ACIMA;6;"HORAS);11";;
"HJXXIII;Fevereiro;2024;PORTE";I;(0;A;2;"HORAS);394";
"HJXXIII;Fevereiro;2024;PORTE";II;(;2;A;4;"HORAS);129"
"HJXXIII;Fevereiro;2024;PORTE";III;(4;A;5;"HORAS);23";
"HJXXIII;Fevereiro;2024;PORTE";IV;(ACIMA;6;"HORAS);8";;
"HJXXIII;MarÃƒÂ§o;2024;PORTE";I;(0;A;2;"HORAS);427";
"HJXXIII;MarÃƒÂ§o;2024;PORTE";II;(;2;A;4;"HORAS);161"
"HJXXIII;MarÃƒÂ§o;2024;PORTE";III;(4;A;5;"HORAS);26";
"HJXXIII;MarÃƒÂ§o;2024;PORTE";IV;(ACIMA;6;"HORAS);20";;
"HJXXIII;Abril;2024;PORTE";I;(0;A;2;"HORAS);419";
"HJXXIII;Abril;2024;PORTE";II;(;2;A;4;"HORAS);167"
"HJXXIII;Abril;2024;PORTE";III;(4;A;5;"HORAS);20";
"HJXXIII;Abril;2024;PORTE";IV;(ACIMA;6;"HORAS);14";;
"HJXXIII;Maio;2024;PORTE";I;(0;A;2;"HORAS);638";
"HJXXIII;Maio;2024;PORTE";II;(;2;A;4;"HORAS);246"
"HJXXIII;Maio;2024;PORTE";III;(4;A;5;"HORAS);50";
"HJXXIII;Maio;2024;PORTE";IV;(ACIMA;6;"HORAS);17";;
"HJXXIII;Junho;2024;PORTE";I;(0;A;2;"HORAS);581";
"HJXXIII;Junho;2024;PORTE";II;(;2;A;4;"HORAS);228"
"HJXXIII;Junho;2024;PORTE";III;(4;A;5;"HORAS);45";
"HJXXIII;Junho;2024;PORTE";IV;(ACIMA;6;"HORAS);21";;
"HJXXIII;Julho;2024;PORTE";I;(0;A;2;"HORAS);625";
"HJXXIII;Julho;2024;PORTE";II;(;2;A;4;"HORAS);355"
"HJXXIII;Julho;2024;PORTE";III;(4;A;5;"HORAS);44";
"HJXXIII;Julho;2024;PORTE";IV;(ACIMA;6;"HORAS);29";;
"HJXXIII;Agosto;2024;PORTE";I;(0;A;2;"HORAS);668";
"HJXXIII;Agosto;2024;PORTE";II;(;2;A;4;"HORAS);226"
"HJXXIII;Agosto;2024;PORTE";III;(4;A;5;"HORAS);71";
"HJXXIII;Agosto;2024;PORTE";IV;(ACIMA;6;"HORAS);34";;
"HJXXIII;Setembro;2024;PORTE";I;(0;A;2;"HORAS);580";
"HJXXIII;Setembro;2024;PORTE";II;(;2;A;4;"HORAS);222"
"HJXXIII;Setembro;2024;PORTE";III;(4;A;5;"HORAS);38";
"HJXXIII;Setembro;2024;PORTE";IV;(ACIMA;6;"HORAS);21";;
"HJXXIII;Outubro;2024;PORTE";I;(0;A;2;"HORAS);610";
"HJXXIII;Outubro;2024;PORTE";II;(;2;A;4;"HORAS);265"
"HJXXIII;Outubro;2024;PORTE";III;(4;A;5;"HORAS);40";
"HJXXIII;Outubro;2024;PORTE";IV;(ACIMA;6;"HORAS);8";;
"HJXXIII;Novembro;2024;PORTE";I;(0;A;2;"HORAS);542";
"HJXXIII;Novembro;2024;PORTE";II;(;2;A;4;"HORAS);203"
"HJXXIII;Novembro;2024;PORTE";III;(4;A;5;"HORAS);62";
"HJXXIII;Novembro;2024;PORTE";IV;(ACIMA;6;"HORAS);25";;
"HMAL;Janeiro;2024;PORTE";I;(0;A;2;"HORAS);162";
"HMAL;Janeiro;2024;PORTE";II;(;2;A;4;"HORAS);57"
"HMAL;Janeiro;2024;PORTE";III;(4;A;5;"HORAS);0";
"HMAL;Janeiro;2024;PORTE";IV;(ACIMA;6;"HORAS);0";;
"HMAL;Fevereiro;2024;PORTE";I;(0;A;2;"HORAS);152";
"HMAL;Fevereiro;2024;PORTE";II;(;2;A;4;"HORAS);33"
"HMAL;Fevereiro;2024;PORTE";III;(4;A;5;"HORAS);4";
"HMAL;Fevereiro;2024;PORTE";IV;(ACIMA;6;"HORAS);0";;
"HMAL;MarÃƒÂ§o;2024;PORTE";I;(0;A;2;"HORAS);166";
"HMAL;MarÃƒÂ§o;2024;PORTE";II;(;2;A;4;"HORAS);59"
"HMAL;MarÃƒÂ§o;2024;PORTE";III;(4;A;5;"HORAS);2";
"HMAL;MarÃƒÂ§o;2024;PORTE";IV;(ACIMA;6;"HORAS);1";;
"HMAL;Abril;2024;PORTE";I;(0;A;2;"HORAS);197";
"HMAL;Abril;2024;PORTE";II;(;2;A;4;"HORAS);54"
"HMAL;Abril;2024;PORTE";III;(4;A;5;"HORAS);2";
"HMAL;Abril;2024;PORTE";IV;(ACIMA;6;"HORAS);0";;
"HMAL;Maio;2024;PORTE";I;(0;A;2;"HORAS);185";
"HMAL;Maio;2024;PORTE";II;(;2;A;4;"HORAS);70"
"HMAL;Maio;2024;PORTE";III;(4;A;5;"HORAS);5";
"HMAL;Maio;2024;PORTE";IV;(ACIMA;6;"HORAS);0";;
"HMAL;Junho;2024;PORTE";I;(0;A;2;"HORAS);161";
"HMAL;Junho;2024;PORTE";II;(;2;A;4;"HORAS);94"
"HMAL;Junho;2024;PORTE";III;(4;A;5;"HORAS);9";
"HMAL;Junho;2024;PORTE";IV;(ACIMA;6;"HORAS);0";;
"HMAL;Julho;2024;PORTE";I;(0;A;2;"HORAS);169";
"HMAL;Julho;2024;PORTE";II;(;2;A;4;"HORAS);116"
"HMAL;Julho;2024;PORTE";III;(4;A;5;"HORAS);11";
"HMAL;Julho;2024;PORTE";IV;(ACIMA;6;"HORAS);1";;
"HMAL;Agosto;2024;PORTE";I;(0;A;2;"HORAS);163";
"HMAL;Agosto;2024;PORTE";II;(;2;A;4;"HORAS);102"
"HMAL;Agosto;2024;PORTE";III;(4;A;5;"HORAS);7";
"HMAL;Agosto;2024;PORTE";IV;(ACIMA;6;"HORAS);1";;
"HMAL;Setembro;2024;PORTE";I;(0;A;2;"HORAS);141";
"HMAL;Setembro;2024;PORTE";II;(;2;A;4;"HORAS);109"
"HMAL;Setembro;2024;PORTE";III;(4;A;5;"HORAS);5";
"HMAL;Setembro;2024;PORTE";IV;(ACIMA;6;"HORAS);0";;
"HMAL;Outubro;2024;PORTE";I;(0;A;2;"HORAS);155";
"HMAL;Outubro;2024;PORTE";II;(;2;A;4;"HORAS);102"
"HMAL;Outubro;2024;PORTE";III;(4;A;5;"HORAS);18";
